County,Elevation ,Date,ppt ,tmin ,tmean ,tmax ,tdmean ,vpdmin ,vpdmax 
Alameda,591,2005-01,4.31,39.6,46.5,53.4,39.5,0.32,4.39
Alameda,591,2005-02,3.82,44.9,52.6,60.2,43.2,0.51,6.99
Alameda,591,2005-03,5.76,46.1,55.6,65.2,43.6,0.82,10.71
Alameda,591,2005-04,2,44.8,55.7,66.5,42.1,0.84,11.65
Alameda,591,2005-05,1.57,51.4,61.8,72.2,48.8,1.02,13.54
Alameda,591,2005-06,0.33,52.8,64.5,76.2,48.6,1.41,17.4
Alameda,591,2005-07,0,58.7,74.1,89.5,51.8,2.93,32.17
Alameda,591,2005-08,0,57.5,73,88.6,48.8,3.22,32.41
Alameda,591,2005-09,0.1,53.2,66.7,80.1,46.4,1.96,23.26
Alameda,591,2005-10,0.16,50.6,63.3,76,45,1.5,19.15
Alameda,591,2005-11,1.08,45.6,56.4,67.2,40,1.44,13.52
Alameda,591,2005-12,6.3,43.8,51.3,58.7,41.6,0.61,6.67
Alameda,591,2006-01,4.5,41.6,49.7,57.8,39.9,0.54,6.64
Alameda,591,2006-02,1.23,41.3,51.9,62.5,37.3,0.94,10.93
Alameda,591,2006-03,7.34,40.5,48.9,57.3,38,0.59,7.34
Alameda,591,2006-04,4.5,46.5,54.8,63.1,44.4,0.72,8.61
Alameda,591,2006-05,0.4,50.9,63.7,76.6,46.3,1.43,19.09
Alameda,591,2006-06,0,55.6,69.7,83.7,49.9,2.41,25.75
Alameda,591,2006-07,0,60.6,76,91.4,50.5,5.1,37.23
Alameda,591,2006-08,0,55.6,69.8,84,49.8,1.9,26.2
Alameda,591,2006-09,0,54.9,69.5,84.1,45.2,3.04,28.7
Alameda,591,2006-10,0.21,50.3,62,73.6,40.7,2.58,19.22
Alameda,591,2006-11,2.37,45.4,54.5,63.7,43.5,0.53,9.46
Alameda,591,2006-12,3.11,39.5,48.8,58,33.8,1.16,9.25
Alameda,591,2007-01,0.92,36.2,46.5,56.9,29.5,0.75,9.38
Alameda,591,2007-02,5.08,42.4,50.7,59,40.6,0.58,7.66
Alameda,591,2007-03,0.57,44.4,56.3,68.2,40.4,1.33,14.41
Alameda,591,2007-04,1.04,45.6,57.4,69.3,40.6,1.28,15.04
Alameda,591,2007-05,0.25,49.8,62.5,75.2,42.5,1.75,19.54
Alameda,591,2007-06,0,52.7,66.8,80.9,45.8,1.97,23.88
Alameda,591,2007-07,0.01,56.7,70.3,83.9,51.1,1.94,24.56
Alameda,591,2007-08,0,57.1,71.4,85.8,49.4,2.4,28.58
Alameda,591,2007-09,0.29,55.7,67.6,79.5,47.4,2.35,22.67
Alameda,591,2007-10,1.52,49.1,60.8,72.6,42.8,1.7,17.37
Alameda,591,2007-11,0.69,45.5,56.4,67.3,39.2,1.36,13.97
Alameda,591,2007-12,2.46,38.2,46.6,55,33.6,0.72,7.94
Alameda,591,2008-01,6.43,39.3,46.2,53,35.6,0.73,5.88
Alameda,591,2008-02,2.75,40.6,49.8,59,36.7,0.74,9.25
Alameda,591,2008-03,0.31,42.1,53.1,64.1,37.5,1.05,12.37
Alameda,591,2008-04,0.18,43.3,55.7,68.2,37.3,1.36,15.69
Alameda,591,2008-05,0,49.4,62.3,75.2,41.6,2.49,20.82
Alameda,591,2008-06,0,53.6,68.1,82.7,40.9,3.92,28.83
Alameda,591,2008-07,0,56.7,71,85.3,49.2,2.67,28.48
Alameda,591,2008-08,0,57.4,72.3,87.3,48.6,3.14,31.63
Alameda,591,2008-09,0,56.1,70.7,85.3,43.8,4.43,31.26
Alameda,591,2008-10,0.51,51.8,65.2,78.5,40.2,2.66,23.8
Alameda,591,2008-11,2.02,48.5,57.2,65.9,44.3,1.19,11.2
Alameda,591,2008-12,2.09,37.8,46.3,54.9,36,0.41,6.97
Alameda,591,2009-01,1.43,39.2,49.3,59.3,34.5,0.91,10.21
Alameda,591,2009-02,5.23,42,50,58,39.1,0.66,7.66
Alameda,591,2009-03,2.97,43.2,52.8,62.4,38.4,0.98,10.76
Alameda,591,2009-04,0.41,45.2,56.4,67.6,38.6,1.64,15.12
Alameda,591,2009-05,0.74,51.4,64.3,77.2,45.6,1.88,20.85
Alameda,591,2009-06,0,54.7,66.2,77.7,46.7,2.9,21.6
Alameda,591,2009-07,0,56,70.8,85.6,47.1,3.1,28.91
Alameda,591,2009-08,0,57.1,71.6,86.1,47.3,3.85,30.65
Alameda,591,2009-09,0.24,58.1,72.8,87.4,48.2,4.19,33.53
Alameda,591,2009-10,3.93,51.1,61.8,72.5,42.7,2.08,17.13
Alameda,591,2009-11,0.43,43.2,53.7,64.2,38.2,1.11,12.02
Alameda,591,2009-12,2.68,38.9,46.8,54.8,36.1,0.68,6.69
Alameda,591,2010-01,5.67,42.2,48.6,55,41.2,0.48,4.67
Alameda,591,2010-02,2.68,44.3,51.6,58.9,43.1,0.34,6.51
Alameda,591,2010-03,2.46,42.5,52.9,63.3,38.3,0.97,11.84
Alameda,591,2010-04,3.78,43.9,53.4,63,39.9,0.95,10.66
Alameda,591,2010-05,0.77,46.4,57.6,68.7,41.8,1.22,13.92
Alameda,591,2010-06,0,54.1,66.7,79.2,47.8,2.3,21.81
Alameda,591,2010-07,0,55.3,69.2,83.1,48.8,1.98,24.91
Alameda,591,2010-08,0,54.5,68.2,81.8,49.2,1.57,24.09
Alameda,591,2010-09,0,56.4,70.3,84.2,46.9,3.55,28.98
Alameda,591,2010-10,1.24,52.9,64,75,45.5,2.07,19.32
Alameda,591,2010-11,3.05,44,53.8,63.7,39.1,1.08,11.71
Alameda,591,2010-12,5.31,44.1,50.7,57.3,41.2,0.44,5.71
Alameda,591,2011-01,1.16,39.8,48.3,56.7,37.3,0.61,7.29
Alameda,591,2011-02,4.43,39,48.7,58.3,33.4,1.19,9.96
Alameda,591,2011-03,6.46,43.5,51.7,59.8,42.1,0.53,7.74
Alameda,591,2011-04,0.29,45.1,55.2,65.3,40.9,1.01,11.48
Alameda,591,2011-05,0.85,47.2,57.8,68.4,40.6,1.54,14.69
Alameda,591,2011-06,1.88,52.5,64.5,76.4,47.5,1.78,19.77
Alameda,591,2011-07,0,56.1,69.7,83.3,50.1,2.36,25.7
Alameda,591,2011-08,0,55.8,70,84.2,50.1,2.02,26.2
Alameda,591,2011-09,0,57.2,72.1,87.1,48.3,3.73,31.48
Alameda,591,2011-10,1.16,52.9,64.3,75.6,47.1,1.75,18.4
Alameda,591,2011-11,1.25,43.6,52.6,61.7,40.1,0.85,9.55
Alameda,591,2011-12,0.11,37.8,48.2,58.6,28.9,1.63,11.1
Alameda,591,2012-01,2.48,39.4,49.4,59.4,34.7,0.89,9.84
Alameda,591,2012-02,0.92,41.4,51.4,61.4,36.3,0.86,11.17
Alameda,591,2012-03,4.3,42.4,51.6,60.8,37.7,1.06,9.66
Alameda,591,2012-04,3.49,46.2,57,67.7,42.4,1.16,13.49
Alameda,591,2012-05,0.04,49.3,62.3,75.2,42.8,2.05,19.63
Alameda,591,2012-06,0.12,52.3,66.6,80.8,44.6,2.63,25.07
Alameda,591,2012-07,0,55.2,69.6,83.9,48.8,2.36,26.6
Alameda,591,2012-08,0,56.4,72.4,88.5,48.3,3.59,33.44
Alameda,591,2012-09,0,53.6,68.7,83.9,46.2,2.79,28.02
Alameda,591,2012-10,0.66,52.7,64.7,76.7,46.5,2.16,21.27
Alameda,591,2012-11,3.66,46.7,56,65.3,43.6,0.96,10.95
Alameda,591,2012-12,7.56,41.5,48.8,56.1,39.4,0.69,6.54
Alameda,591,2013-01,0.7,36.3,45.6,55,32.4,0.82,7.91
Alameda,591,2013-02,0.54,38.6,49,59.5,34.8,0.78,10.19
Alameda,591,2013-03,0.54,44.3,55.4,66.4,40.7,1.15,13.25
Alameda,591,2013-04,0.78,48.1,60.7,73.3,41.2,2.02,18.62
Alameda,591,2013-05,0.18,51.6,63.5,75.5,42.6,2.69,19.79
Alameda,591,2013-06,0.03,55.1,68.8,82.4,48.4,2.55,25.42
Alameda,591,2013-07,0,56.9,72,87.1,49.7,2.76,31.75
Alameda,591,2013-08,0,57.5,70.2,83,51.4,2.05,24.8
Alameda,591,2013-09,0.58,56.8,69,81.2,48.8,2.67,23.7
Alameda,591,2013-10,0,49.9,63.2,76.5,39,3.22,22.3
Alameda,591,2013-11,1.21,45.5,56.4,67.3,38,1.76,14.68
Alameda,591,2013-12,0.8,37.3,48.1,58.9,28.4,1.73,11.65
Alameda,591,2014-01,0.1,43,53.9,64.8,33.2,2.41,14.53
Alameda,591,2014-02,3.78,43.9,52.9,61.8,42.2,0.76,9.84
Alameda,591,2014-03,1.71,47.2,57.6,68,41.6,1.6,14.09
Alameda,591,2014-04,1.83,47.2,59,70.9,43.7,1.39,16.12
Alameda,591,2014-05,0.01,52.6,65.5,78.5,43.1,3.17,23.19
Alameda,591,2014-06,0,54,68.5,83,46.6,2.61,26.48
Alameda,591,2014-07,0,59.4,73.6,87.8,52.2,3.25,30.41
Alameda,591,2014-08,0,58.5,72,85.5,52.9,2.05,26.86
Alameda,591,2014-09,0.32,58.6,71.3,84,52.2,2.45,26.26
Alameda,591,2014-10,0.23,54.6,67.8,81,45.7,2.86,26.69
Alameda,591,2014-11,1.64,47.9,57.6,67.2,44.2,1.12,12.64
Alameda,591,2014-12,10.37,47.5,54,60.6,45.5,0.63,6.59
Alameda,591,2015-01,0,41.5,51.1,60.7,37.4,0.98,9.73
Alameda,591,2015-02,3.13,46.5,56.4,66.4,41.8,1.1,11.99
Alameda,591,2015-03,0.29,47.5,59.5,71.6,42.6,1.51,16.81
Alameda,591,2015-04,1.57,46.7,58.6,70.5,39.7,1.51,15.92
Alameda,591,2015-05,0.5,50.1,59.4,68.7,44.7,1.78,12.88
Alameda,591,2015-06,0.21,55,69.1,83.3,48.8,2.21,26.9
Alameda,591,2015-07,0,59,71.5,83.9,52,3.1,26.6
Alameda,591,2015-08,0,58.5,71.5,84.4,51.3,2.77,27.81
Alameda,591,2015-09,0,56.9,71.4,86,44.5,5.08,33.65
Alameda,591,2015-10,0.04,54.7,67.7,80.7,48.3,2.61,24.24
Alameda,591,2015-11,2.57,41,51.8,62.6,38.1,0.99,11.49
Alameda,591,2015-12,4.27,38.5,47.2,55.8,38.2,0.67,6.95
Alpine,8161,2005-01,12.31,20.5,29.3,38.2,14,1.22,4.84
Alpine,8161,2005-02,4.71,21.1,30.1,39.1,16,0.63,5.29
Alpine,8161,2005-03,9.12,21.2,32.1,43,11.5,1.2,7.55
Alpine,8161,2005-04,3.6,22.5,34.2,45.8,12.3,1.34,8.46
Alpine,8161,2005-05,5.71,31.5,42.3,53.1,22.8,1.95,10.72
Alpine,8161,2005-06,1.22,35.8,46.8,57.9,22.2,2.93,12.89
Alpine,8161,2005-07,0.3,49.8,62.3,74.9,31.2,6.93,24.94
Alpine,8161,2005-08,0.34,48.7,60.1,71.4,28.4,6.54,21.95
Alpine,8161,2005-09,0.81,38.4,49.8,61.2,19.9,4.06,15.69
Alpine,8161,2005-10,1.6,33.2,44.2,55.1,18.2,2.5,11.95
Alpine,8161,2005-11,3.72,29.3,38.3,47.3,14,2.12,8.09
Alpine,8161,2005-12,17.07,23.5,31.8,40,15.8,0.87,5.35
Alpine,8161,2006-01,11.37,19.1,28.4,37.6,14.4,0.61,4.3
Alpine,8161,2006-02,4.8,18.8,30.3,41.8,7.2,1.49,7.22
Alpine,8161,2006-03,10.91,14.6,24.2,33.8,10.8,0.34,3.37
Alpine,8161,2006-04,11.3,25.6,35.1,44.6,18.1,0.9,7.01
Alpine,8161,2006-05,1.1,33.9,45.8,57.6,20.5,2.68,13.65
Alpine,8161,2006-06,0,42.9,54.9,66.9,24.6,4.91,20.35
Alpine,8161,2006-07,0.3,51.5,62.6,73.8,28.6,6.68,24.26
Alpine,8161,2006-08,0.45,46.8,58.4,70,25.5,6.35,22.27
Alpine,8161,2006-09,0.26,41.4,53.3,65.2,15.5,5.88,19.78
Alpine,8161,2006-10,1.14,32.3,43,53.7,14.8,2.48,11.6
Alpine,8161,2006-11,4.07,27.6,36.2,44.7,15.2,1.63,7.18
Alpine,8161,2006-12,5.39,21.4,30.8,40.3,8.4,1.44,6.2
Alpine,8161,2007-01,1.81,15.9,26.7,37.6,3.6,1.37,5.73
Alpine,8161,2007-02,10.11,22,30.6,39.2,12.7,1.13,5.52
